workers,fairness,qual_errors,overlaps
21,-0.18140589569160995,0,11
22,-0.23966942148760326,0,9
22,-0.23966942148760326,0,8
20,-0.2,0,9
21,-0.2766439909297051,0,6
21,-0.2766439909297051,0,6
22,-0.23966942148760328,0,6
22,-0.3305785123966942,0,5
22,-0.3305785123966942,0,5
19,-0.3047091412742382,0,6
22,-0.4214876033057852,0,4
